frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
199,-115.5,1527.5,1412.0,1536.0,1527.5,1513.5,5.0,0.0,1.201757733750468,0,3,3,0,187.0,1.0,23.5,1.0,4.0,47;46;45;47 | 49;48;47;45,6;6;5;6 | 7;6;6;5
200,-100.0,1515.5,1415.5,1536.0,1527.0,1513.0,5.0,0.0,1.2388059064151733,0,3,3,0,186.0,1.0,24.0,0.5,4.0,47;46;46;47 | 46;47;47;46,6;6;6;6 | 6;6;6;6
201,-158.5,1562.5,1404.0,1536.0,1527.5,1513.5,5.0,0.0,1.0549485109489694,0,3,3,0,188.0,2.0,25.0,1.0,4.0,49;47;45;46 | 49;49;45;46,7;6;6;6 | 7;7;5;6
202,-120.5,1522.0,1401.5,1536.0,1525.0,1511.0,5.0,0.0,1.3836095285852839,0,3,3,0,182.5,5.5,23.5,1.5,4.0,46;47;45;46 | 45;47;46;43,6;6;5;6 | 6;7;6;5
203,-127.0,1537.0,1410.0,1536.0,1525.5,1511.5,5.0,0.0,1.1844219345417297,0,3,3,0,178.0,4.5,23.0,0.5,4.0,44;45;45;46 | 44;45;43;44,6;6;6;6 | 6;6;5;5
204,-169.5,1567.0,1397.5,1536.0,1526.0,1507.5,5.0,0.0,1.1743725226782178,0,3,3,0,175.0,3.0,21.5,1.5,4.0,42;43;44;47 | 43;44;43;44,6;5;5;6 | 6;5;5;5
205,-102.5,1511.0,1408.5,1536.0,1526.5,1512.5,5.0,0.0,1.29066878200595,0,3,3,0,174.0,1.0,21.5,0.0,4.0,41;45;42;46 | 45;45;41;43,6;5;5;6 | 6;6;4;5
206,-168.0,1551.5,1383.5,1536.0,1526.5,1481.0,5.0,0.0,1.1701030894387021,0,3,3,0,186.0,12.0,21.0,0.5,4.0,41;45;45;46 | 47;49;51;48,6;5;5;5 | 5;5;6;5
207,7.5,1387.5,1395.0,1536.0,1528.0,1500.5,5.0,0.0,1.1946902710322118,0,3,3,0,198.5,12.5,20.5,0.5,4.0,55;49;49;47 | 55;49;50;43,7;5;5;4 | 7;5;5;3
208,93.5,1260.5,1354.0,1536.0,1527.0,1513.0,5.0,0.0,1.997167052687239,0,3,3,0,196.5,2.0,19.0,1.5,4.0,53;50;47;45 | 53;51;49;45,7;5;4;4 | 6;5;4;3
