frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
207,169.0,724.0,893.0,1536.0,1419.0,986.0,424.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
208,305.0,625.0,930.0,1536.0,1441.0,1023.0,409.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
209,369.0,475.0,844.0,1536.0,1355.0,937.0,409.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
210,224.0,395.0,619.0,1536.0,950.0,712.0,229.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
211,232.0,350.0,582.0,1536.0,689.0,675.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
212,701.0,285.0,986.0,1536.0,1093.0,1079.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
213,829.0,306.0,1135.0,1536.0,1242.0,1228.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
214,998.0,379.0,1377.0,1536.0,1528.0,1514.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
215,393.0,268.0,661.0,1536.0,768.0,754.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
216,385.0,255.0,640.0,1536.0,747.0,733.0,5.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
217,206.66666666666666,1155.0,1361.6666666666667,1536.0,1522.6666666666667,1487.6666666666667,5.0,0.0,1.0,0,3,3,0,17.666666666666668,17.666666666666668,8.333333333333334,8.333333333333334,3.0,1;0;0;0 | 1;0;0;0 | 9;8;10;9 | 9;8;10;9 | 4;4;4;4 | 4;4;4;4,7;0;0;0 | 7;0;0;0 | 5;2;1;1 | 5;2;1;1 | 5;2;1;1 | 5;2;1;1
