frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
25,162.0,309.0,471.0,1536.0,934.0,516.0,409.0,0.0,1.02298820949578,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
26,280.0,373.0,653.0,1536.0,1146.0,728.0,409.0,0.0,1.0,0,3,3,0,1.0,1.0,0.0,0.0,0.0,0;0;0;1 | 0;0;0;1,0;0;0;0 | 0;0;0;0
27,232.0,383.0,615.0,1536.0,1108.0,690.0,409.0,0.0,1.0,0,3,3,0,0.0,1.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
28,275.0,347.0,622.0,1536.0,1115.0,697.0,409.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
29,352.0,370.0,722.0,1536.0,1215.0,797.0,409.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
30,266.0,376.0,642.0,1536.0,1135.0,717.0,409.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
31,215.0,392.0,607.0,1536.0,1100.0,682.0,409.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
32,455.0,460.0,915.0,1536.0,1408.0,990.0,409.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
33,238.0,324.0,562.0,1536.0,1415.0,613.0,793.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
34,131.0,328.0,459.0,1536.0,1312.0,510.0,793.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
35,122.0,347.0,469.0,1536.0,1322.0,520.0,793.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
36,228.0,363.0,591.0,1536.0,1447.0,645.0,793.0,0.0,1.0,0,3,3,0,1.0,1.0,0.0,0.0,0.0,0;1;0;0 | 0;1;0;0,0;0;0;0 | 0;0;0;0
37,98.0,251.0,349.0,1536.0,1202.0,400.0,793.0,0.0,1.0,0,3,3,0,0.0,1.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
38,115.0,349.0,464.0,1536.0,1320.0,518.0,793.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
39,278.0,352.0,630.0,1536.0,1489.0,687.0,793.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
40,288.0,318.0,606.0,1536.0,1465.0,663.0,793.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
41,208.0,311.0,519.0,1536.0,1378.0,576.0,793.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
42,173.0,363.0,536.0,1536.0,1395.0,593.0,793.0,0.0,1.0,0,3,3,0,0.0,0.0,0.0,0.0,0.0,0;0;0;0 | 0;0;0;0,0;0;0;0 | 0;0;0;0
