frame_idx,complexity_score,residual_bits,actual_bits_used,target_bits,sideinfo_bits,gain_bits,tonal_bits,num_tonals,attack_ratio,transient_triggered,matrix_primary,matrix_modes,matrix_changed,weight_sum,weight_delta,gain_sum,gain_delta,gain_nonzero_bands,weight_vectors,gain_vectors
1076,111.0,1243.5,1354.5,1536.0,1527.0,1513.0,5.0,0.0,1.9331916560021536,0,3,3,0,200.0,0.5,19.5,1.0,4.0,53;49;50;47 | 55;52;47;47,7;4;4;4 | 7;5;4;4
1077,95.0,1269.0,1364.0,1536.0,1527.5,1513.5,5.0,0.0,1.513618696816866,0,3,3,0,200.0,0.0,19.0,0.5,4.0,50;50;50;49 | 55;51;47;48,7;4;4;4 | 7;4;4;4
1078,110.0,1298.5,1408.5,1536.0,1528.0,1514.0,5.0,0.0,1.4656083004154954,0,3,3,0,197.5,2.5,19.5,0.5,4.0,51;53;47;49 | 48;51;49;47,7;5;4;4 | 7;4;4;4
1079,45.0,1362.5,1407.5,1536.0,1527.0,1513.0,5.0,0.0,1.1490261927123355,0,3,3,0,206.0,8.5,18.0,1.5,4.0,51;56;49;48 | 53;56;49;50,6;5;4;3 | 6;5;3;4
1080,160.5,1253.5,1414.0,1536.0,1527.5,1513.5,5.0,0.0,1.1900647369737571,0,3,3,0,202.5,3.5,21.0,3.0,4.0,52;54;52;47 | 50;55;49;46,7;5;5;4 | 7;6;4;4
1081,70.0,1290.0,1360.0,1536.0,1527.5,1513.5,5.0,0.0,1.2244898925866552,0,3,3,0,203.0,0.5,19.5,1.5,4.0,53;53;51;48 | 51;53;48;49,7;5;4;4 | 6;5;4;4
1082,97.0,1318.0,1415.0,1536.0,1526.5,1512.5,5.0,0.0,1.5207102784489732,0,3,3,0,199.0,4.0,18.5,1.0,4.0,51;50;49;49 | 51;51;51;46,6;4;3;3 | 7;5;5;4
1083,49.5,1356.5,1406.0,1536.0,1527.5,1513.5,5.0,0.0,1.4204546610514324,0,3,3,0,194.5,4.5,15.5,3.0,4.0,52;49;45;47 | 52;48;48;48,6;4;3;3 | 6;3;3;3
1084,37.5,1338.0,1375.5,1536.0,1528.0,1514.0,5.0,0.0,1.0732324123382568,0,3,3,0,196.0,1.5,16.0,0.5,4.0,50;50;48;47 | 51;50;48;48,6;4;3;3 | 6;4;3;3
1085,64.0,1320.0,1384.0,1536.0,1527.0,1513.0,5.0,0.0,1.495580832163493,0,3,3,0,198.0,2.0,18.5,2.5,4.0,51;49;51;48 | 53;49;47;48,7;4;4;4 | 6;5;3;4
1086,93.5,1311.0,1404.5,1536.0,1528.0,1514.0,5.0,0.0,1.2569444179534912,0,3,3,0,195.5,2.5,16.0,2.5,4.0,49;49;51;46 | 51;49;48;48,6;3;4;3 | 6;4;3;3
1087,103.5,1303.5,1407.0,1536.0,1527.0,1513.0,5.0,0.0,1.997167052687239,0,3,3,0,195.5,0.0,18.5,2.5,4.0,50;50;47;49 | 50;53;47;45,6;4;3;4 | 7;5;4;4
1088,57.0,1325.0,1382.0,1536.0,1527.5,1513.5,5.0,0.0,1.2771466573079426,0,3,3,0,200.5,5.0,18.5,0.0,4.0,51;52;47;50 | 51;51;49;50,6;5;3;4 | 6;4;4;5
1089,108.0,1272.5,1380.5,1536.0,1528.0,1514.0,5.0,0.0,1.2559999311523458,0,3,3,0,201.5,1.0,18.5,0.0,4.0,51;52;50;47 | 53;51;49;50,7;5;4;4 | 6;4;3;4
