sample_name,frame_idx,channel,num_bands,target_bits,sideinfo_bits,tonal_bits,gain_bits,extra_bits,residual_bits,actual_bits_used,complexity_score,num_tonals,tonal_candidate_count,tonal_promoted_count,transient_flag_raw,transient_triggered,attack_ratio,matrix_index,weight_idx,gain_points_per_band,energies
chirp_20_20k_5s,1,0,1,1536,23,5,9,9,0,0,0,0,0,0,0,0,0,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;0;0;0;0;0;0;0
chirp_20_20k_5s,1,1,1,1536,23,5,9,9,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;0;0;0
chirp_20_20k_5s,2,0,1,1536,41,5,9,27,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;0;0;0
chirp_20_20k_5s,2,1,1,1536,41,5,9,27,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071
chirp_20_20k_5s,3,0,19,1536,1528,265,1227,36,1044,1122,78,0,2,0,0,0,1,3,16;36;36;35,7;7;7;7,1.401298464324817e-44;6;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071
chirp_20_20k_5s,3,1,19,1536,1528,265,1227,36,1044,1122,78,0,2,0,0,0,0.903867113613012,3,16;36;36;35,7;7;7;7,1.401298464324817e-44;15.934847831726074;9.934847831726074;8.268181800842285;6.934848308563232;6.268181324005127;5.60151481628418;4.934848308563232
chirp_20_20k_5s,4,0,26,1536,914,337,568,9,282,484,202,0,2,0,0,0,0.903867113613012,3,20;13;24;15,7;7;7;7,1.401298464324817e-44;15.934847831726074;9.934847831726074;8.268181800842285;6.934848308563232;6.268181324005127;5.60151481628418;4.934848308563232
chirp_20_20k_5s,4,1,26,1536,914,337,568,9,282,484,202,0,2,0,0,0,0.8890989234649775,3,20;13;24;15,7;7;7;7,1.401298464324817e-44;18.034090042114258;16.034090042114258;7.7007575035095215;4.367424011230469;2.367424249649048;1.3674242496490479;0.7007575631141663
chirp_20_20k_5s,5,0,26,1536,936,409,518,9,244,434,190,0,2,0,0,0,0.8890989234649775,3,4;18;25;19,0;7;7;7,1.401298464324817e-44;18.034090042114258;16.034090042114258;7.7007575035095215;4.367424011230469;2.367424249649048;1.3674242496490479;0.7007575631141663
chirp_20_20k_5s,5,1,26,1536,936,409,518,9,244,434,190,0,2,0,0,0,1.3498509434244197,3,4;18;25;19,0;7;7;7,1.401298464324817e-44;13.339015007019043;18.00568199157715;10.339015007019043;5.672348499298096;2.6723484992980957;1.3390151262283325;1.0056818723678589
