sample_name,frame_idx,channel,num_bands,target_bits,sideinfo_bits,tonal_bits,gain_bits,extra_bits,residual_bits,actual_bits_used,complexity_score,num_tonals,tonal_candidate_count,tonal_promoted_count,transient_flag_raw,transient_triggered,attack_ratio,matrix_index,weight_idx,gain_points_per_band,energies
chirp_wait,1,0,1,1536,23,5,9,9,0,0,0,0,0,0,0,0,0,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;0;0;0;0;0;0;0
chirp_wait,1,1,1,1536,23,5,9,9,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;0;0;0
chirp_wait,2,0,1,1536,50,5,9,36,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;3;3;3;0;0;0
chirp_wait,2,1,1,1536,50,5,9,36,0,0,0,0,0,0,0,0,1,3,0;0;0;0,0;0;0;0,1.401298464324817e-44;6;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071
chirp_wait,3,0,20,1536,1524,265,1232,27,1141,1141,0,0,2,0,0,0,1,3,21;33;31;29,7;7;7;7,1.401298464324817e-44;6;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071;0.699999988079071
chirp_wait,3,1,20,1536,1524,265,1232,27,1141,1141,0,0,2,0,0,0,0.9041028924950364,3,21;33;31;29,7;7;7;7,1.401298464324817e-44;16.618560791015625;9.95189380645752;7.9518938064575195;6.9518938064575195;6.285227298736572;5.618560314178467;4.9518938064575195
chirp_wait,4,0,5,1536,546,265,272,9,163,251,88,0,2,0,0,0,0.9041028924950364,3,22;18;13;8,7;7;7;7,1.401298464324817e-44;16.618560791015625;9.95189380645752;7.9518938064575195;6.9518938064575195;6.285227298736572;5.618560314178467;4.9518938064575195
chirp_wait,4,1,5,1536,546,265,272,9,163,251,88,0,2,0,0,0,0.7524940481209644,3,22;18;13;8,7;7;7;7,1.401298464324817e-44;18.98674201965332;7.320075988769531;3.9867424964904785;3;1.3200757503509521;0.32007575035095215;-0.013257582671940327
chirp_wait,5,0,5,1536,541,265,267,9,165,246,81,0,2,0,0,0,0.7524940481209644,3,22;18;14;9,7;7;7;7,1.401298464324817e-44;18.98674201965332;7.320075988769531;3.9867424964904785;3;1.3200757503509521;0.32007575035095215;-0.013257582671940327
chirp_wait,5,1,5,1536,541,265,267,9,165,246,81,0,2,0,0,0,0.6974900713813992,3,22;18;14;9,7;7;7;7,1.401298464324817e-44;18.967803955078125;7.634469509124756;4.301136493682861;3;1.634469747543335;0.3011363744735718;-0.3655302822589874
chirp_wait,6,0,5,1536,556,265,282,9,168,261,93,0,2,0,0,0,0.6974900713813992,3,21;18;14;9,7;7;7;7,1.401298464324817e-44;18.967803955078125;7.634469509124756;4.301136493682861;3;1.634469747543335;0.3011363744735718;-0.3655302822589874
chirp_wait,6,1,5,1536,556,265,282,9,168,261,93,0,2,0,0,0,0.6977973451018255,3,21;18;14;9,7;7;7;7,1.401298464324817e-44;18.965909957885742;7.632575988769531;4.2992424964904785;3;1.299242377281189;0.6325757503509521;-0.36742424964904785
chirp_wait,7,0,26,1536,745,265,471,9,194,387,193,0,2,0,0,0,0.6977973451018255,3,21;17;13;5,7;7;7;7,1.401298464324817e-44;18.965909957885742;7.632575988769531;4.2992424964904785;3;1.299242377281189;0.6325757503509521;-0.36742424964904785
chirp_wait,7,1,26,1536,745,265,471,9,194,387,193,0,2,0,0,0,0.7496450435980354,3,21;17;13;5,7;7;7;7,1.401298464324817e-44;19.001893997192383;7.3352274894714355;4.001893997192383;3;0.33522728085517883;-0.33143940567970276;-0.33143940567970276
chirp_wait,8,0,26,1536,779,265,505,9,192,421,229,0,2,0,0,0,0.7496450435980354,3,20;19;15;9,7;7;7;7,1.401298464324817e-44;19.001893997192383;7.3352274894714355;4.001893997192383;3;0.33522728085517883;-0.33143940567970276;-0.33143940567970276
chirp_wait,8,1,26,1536,779,265,505,9,192,421,229,0,2,0,0,0,0.6497129119403848,3,20;19;15;9,7;7;7;7,1.401298464324817e-44;18.61742401123047;8.284090995788574;4.617424011230469;3;0.9507575631141663;0.28409090638160706;-0.38257575035095215
chirp_wait,9,0,26,1536,859,265,585,9,243,501,258,0,2,0,0,0,0.6497129119403848,3,21;21;17;12,7;7;7;7,1.401298464324817e-44;18.61742401123047;8.284090995788574;4.617424011230469;3;0.9507575631141663;0.28409090638160706;-0.38257575035095215
chirp_wait,9,1,26,1536,859,265,585,9,243,501,258,0,2,0,0,0,0.6808124674100746,3,21;21;17;12,7;7;7;7,1.401298464324817e-44;18.88825798034668;8.554924011230469;5.221590995788574;3.554924249649048;2.221590995788574;1.2215908765792847;0.5549242496490479
chirp_wait,10,0,26,1536,922,265,648,9,300,564,264,0,2,0,0,0,0.6808124674100746,3,20;23;19;13,7;7;7;7,1.401298464324817e-44;18.88825798034668;8.554924011230469;5.221590995788574;3.554924249649048;2.221590995788574;1.2215908765792847;0.5549242496490479
chirp_wait,10,1,26,1536,922,265,648,9,300,564,264,0,2,0,0,0,0.7384843893230055,3,20;23;19;13,7;7;7;7,1.401298464324817e-44;18.823863983154297;8.823863983154297;5.823863506317139;3.8238635063171387;2.8238635063171387;1.8238636255264282;0.8238636255264282
chirp_wait,11,0,26,1536,941,265,667,9,306,583,277,0,2,0,0,0,0.7384843893230055,3,20;22;19;13,7;7;7;7,1.401298464324817e-44;18.823863983154297;8.823863983154297;5.823863506317139;3.8238635063171387;2.8238635063171387;1.8238636255264282;0.8238636255264282
chirp_wait,11,1,26,1536,941,265,667,9,306,583,277,0,2,0,0,0,0.7345400193783179,3,20;22;19;13,7;7;7;7,1.401298464324817e-44;18.511363983154297;8.844696998596191;5.844696998596191;3.8446969985961914;2.5113635063171387;1.8446969985961914;1.178030252456665
chirp_wait,12,0,26,1536,883,265,609,9,272,525,253,0,2,0,0,0,0.7345400193783179,3,21;21;17;12,7;7;7;7,1.401298464324817e-44;18.511363983154297;8.844696998596191;5.844696998596191;3.8446969985961914;2.5113635063171387;1.8446969985961914;1.178030252456665
chirp_wait,12,1,26,1536,883,265,609,9,272,525,253,0,2,0,0,0,0.7177979609453689,3,21;21;17;12,7;7;7;7,1.401298464324817e-44;19.210227966308594;8.210227012634277;5.2102274894714355;3.54356050491333;2.54356050491333;1.5435606241226196;0.5435606241226196
